,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
24,MultiCrashLeafsetExtension-PT-S16C07,1.19,1.23,0.9674796747967479,22711809,22711809,1.0,0.103662,TRUE
418,DNAwalker-PT-06track28RL,68.38,70.67,0.9675958681194282,245427908,245427908,1.0,0.000743,FALSE
98,MultiCrashLeafsetExtension-PT-S16C06,2.26,2.33,0.9699570815450642,10763721,10763721,1.0,0.082042,FALSE
337,BridgeAndVehicles-PT-V20P20N10,21.15,21.8,0.970183486238532,23489217,23489217,1.0,0.004029,TRUE
420,DNAwalker-PT-08ringLL,185.32,190.98,0.9703633888365274,185443203,185443203,1.0,0.000244,FALSE
428,DNAwalker-PT-06track28RL,221.59,228.19,0.9710767343003638,231680489,231680489,1.0,0.000523,FALSE
389,DNAwalker-PT-11ringRR,145.44,149.53,0.97264762923828,197403653,197403653,1.0,0.000251,TRUE
330,BridgeAndVehicles-PT-V20P20N50,53.26,54.75,0.9727853881278539,4123760,4123760,1.0,0.103787,FALSE
143,PhilosophersDyn-PT-20,131.21,134.86,0.9729348954471303,12961311,12961311,1.0,0.90541,FALSE
335,BridgeAndVehicles-PT-V20P20N20,1.09,1.12,0.9732142857142857,19346453,19346453,1.0,0.012481,FALSE
422,DNAwalker-PT-08ringLL,181.57,186.54,0.9733569207676638,176407915,176407915,1.0,0.000246,FALSE
357,DNAwalker-PT-11ringRR,31.31,32.16,0.9735696517412936,11631235,11631235,1.0,0.000693,FALSE
283,DNAwalker-PT-03track12BlockBoth,9.69,9.95,0.9738693467336683,9076,9076,1.0,0.000188,FALSE
423,DNAwalker-PT-10ringRL,39.92,40.97,0.9743714913351234,12890281,12890281,1.0,0.000704,TRUE
224,Philosophers-PT-000010,20.06,20.57,0.9752066115702479,459271,459271,1.0,4.8e-05,FALSE
